seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762058	762071	14	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	762950	14	*	X00002	643837	762971	794826	31856	+	20	upstream	20	LINC01128
chr1	762937	762950	14	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	895966	896055	90	*	X00012	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895966	896055	90	*	X00012	26155	879583	894679	15097	-	1286	upstream	1286	NOC2L
chr1	948638	948742	105	*	X00017	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955319	955377	59	*	X00018	375790	955503	991499	35997	+	125	upstream	125	AGRN
chr1	1051311	1051445	135	*	X00024	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1209414	1209599	186	*	X00026	118424	1189292	1209234	19943	-	179	upstream	179	UBE2J2
chr1	1209863	1209967	105	*	X00027	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00032	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00033	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243314	120	*	X00034	126789	1243994	1247057	3064	+	679	upstream	679	PUSL1
chr1	1259645	1259709	65	*	X00036	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260217	1260265	49	*	X00037	80772	1260143	1264276	4134	+	0	inside	73	CPTP
chr1	1260217	1260265	49	*	X00037	54973	1246965	1260067	13103	-	149	upstream	149	INTS11
chr1	1260310	1260414	105	*	X00038	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00038	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284594	150	*	X00039	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285366	23	*	X00040	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1296788	1296907	120	*	X00045	54587	1288071	1297157	9087	-	0	inside	249	MXRA8
chr1	1334266	1334385	120	*	X00046	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00047	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1406054	1406102	49	*	X00051	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00052	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00053	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475569	1475774	206	*	X00055	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1476110	1476208	99	*	X00056	339453	1470158	1475740	5583	-	369	upstream	369	TMEM240
chr1	1712999	1713133	135	*	X00059	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
chr1	1822775	1823044	270	*	X00066	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00067	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1981357	1981416	60	*	X00069	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	2140486	2140710	225	*	X00081	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2159526	2159705	180	*	X00084	6497	2160134	2241652	81519	+	428	upstream	428	SKI
chr1	2323483	2323752	270	*	X00109	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00109	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00113	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344191	2344263	73	*	X00114	5192	2336241	2344010	7770	-	180	upstream	180	PEX10
chr1	2406025	2406174	150	*	X00122	9651	2407754	2436969	29216	+	1579	upstream	1579	PLCH2
chr1	2406760	2406879	120	*	X00123	9651	2407754	2436969	29216	+	874	upstream	874	PLCH2
chr1	2407000	2407104	105	*	X00124	9651	2407754	2436969	29216	+	649	upstream	649	PLCH2
chr1	2407705	2407724	20	*	X00125	9651	2407754	2436969	29216	+	29	upstream	29	PLCH2
chr1	2407768	2407794	27	*	X00126	9651	2407754	2436969	29216	+	0	inside	13	PLCH2
chr1	2457806	2457877	72	*	X00130	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2517495	2517614	120	*	X00136	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518124	15	*	X00137	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	2518190	2518379	190	*	X00138	127281	2517899	2522908	5010	+	0	inside	290	PRXL2B
chr1	3541764	3542003	240	*	X00156	127262	3541556	3546694	5139	+	0	inside	207	TPRG1L
chr1	3663507	3663656	150	*	X00161	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3688852	3688941	90	*	X00162	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689008	59	*	X00163	388588	3689334	3692546	3213	+	325	upstream	325	SMIM1
chr1	3713228	3713330	103	*	X00164	57470	3696784	3713068	16285	-	159	upstream	159	LRRC47
chr1	3816553	3816732	180	*	X00166	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00166	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00167	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
